@relation 'wekacsv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-5,7,11'

@attribute tr_status {0,1}
@attribute sadness numeric
@attribute tentative numeric
@attribute openness numeric
@attribute conscientiousness numeric
@attribute agreableness numeric
@attribute emotionalrange numeric

@data
1,0.125935,0.713496,0.272246,0.069541,0.015976,0.295294
1,0.125935,0.713496,0.272246,0.069541,0.015976,0.295294
1,0.126942,0.734848,0.1074,0.057664,0.138233,0.532413
1,0.126942,0.734848,0.1074,0.057664,0.138233,0.532413
1,0.079136,0.801243,0.703142,0.494958,0.153824,0.668089
1,0.219646,0.678241,0.343941,0.319981,0.105263,0.428099
1,0.219646,0.678241,0.343941,0.319981,0.105263,0.428099
1,0.219646,0.678241,0.343941,0.319981,0.105263,0.428099
1,0.129714,0.691713,0.617442,0.134008,0.113902,0.519821
1,0.118968,0.359213,0.292645,0.10195,0.154011,0.369724
1,0.051812,0.774192,0.477697,0.106938,0.259375,0.526642
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.077124,0.1571,0.938698,0.236903,0.131228,0.62697
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.073684,0.713147,0.445601,0.126942,0.093096,0.418437
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.120686,0.178988,0.924534,0.458888,0.04129,0.714
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.437233,0.364205,0.395643,0.040086,0.050558,0.231079
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.07906,0.55079,0.35561,0.068134,0.047531,0.504577
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.602615,0.776359,0.642443,0.058819,0.048859,0.45482
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.087836,0,0.961954,0.596864,0.422905,0.770593
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.251325,0.649568,0.745336,0.102673,0.170361,0.180007
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.103991,0.483839,0.768055,0.319875,0.181801,0.573497
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.114101,0.148694,0.858035,0.561001,0.045875,0.812503
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.122515,0.110498,0.769642,0.275375,0.042771,0.78577
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.110276,0.227228,0.700231,0.314884,0.032634,0.801021
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.084684,0.728993,0.512147,0.040908,0.050496,0.529325
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.092279,0.011885,0.826507,0.101428,0.019675,0.394378
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.219022,0,0.683007,0.047716,0.03274,0.21653
1,0.073397,0.379819,0.577151,0.356304,0.101211,0.480963
1,0.073397,0.379819,0.577151,0.356304,0.101211,0.480963
